tittle,question,answer,url,ans_count,tag
Is using a root persistent class or base persistable object an architecture smell?,"One of the major gripes voiced by the Alt.Net community against the Microsoft Entity Framework is that it forces you to use a Base Persistable Object for everything being stored in the database. I have two questions related to this:

Is it acceptable to have a ""Root Persistent Class"" as the base for the domain objects in your application, or is this an architecture smell? 
If you feel it is OK for you to have one within your application, is it also OK for an ORM framework to force you to use one? Are there reasons to avoid a framework that makes you do this?

I've been using an abstract base object as the root of all my peristable classes for some time. It makes several housekeeping chores much easier.","My feeling is that it's ok presuming the context is such that it

stays out of the way
doesn't add features that aren't used outside of the scope of the entity
doesn't tie you to any particular ORM (sort of in keeping with #2)

So if the base class is used to describe, for instance, an ID and the meaning of Equality (since many times entities are considered equal if they have the same ID), then that's fine.  However, when it starts describing database-centric information (such as tables, columns, state of the entity, etc), then yes, I think it begins to smell.",https://stackoverflow.com/questions/2232492/is-using-a-root-persistent-class-or-base-persistable-object-an-architecture-smel,3,1
Metrics for measuring successful refactoring [closed],"Are there objective metrics for measuring code refactoring? 
Would running findbugs, CRAP or checkstyle before and after a refactoring be a useful way of checking whether the code was actually improved rather than just changed?
I'm looking for trends we can capture that can help us improve the code review process without wasting time on code that gets changed for simple personal preference.","Would running findbugs, CRAP or checkstyle before and after a refactoring be a useful way of checking if the code was actually improved rather than just changed?

Actually, as I have detailed in the question ""What is the fascination with code metrics?"", the trend of any metrics (findbugs, CRAP, whatever) is the true added value of metrics.
It (the evolution of metrics) allows you to prioritize the main fixing action you really need to make to your code (as opposed to blindly try to respect every metric out there)
A tool like Sonar can, in this domain (monitoring of metrics) can be very useful.

Sal adds in the comments:

The real issue is on checking what code changes add value rather than just adding change

For that, test coverage is very important, because only tests (unit tests, but also larger ""functional tests"") will give you a valid answer.
But refactoring should not be done without a clear objective anyway. To do it only because it would be ""more elegant"" or even ""easier to maintain"" may be not in itself a good reason enough to change the code.
There should be other measures like some bugs which will be fixed in the process, or some new functions which will be implemented much faster as a result of the ""refactored"" code.
In short, the added value of a refactoring is not solely measured with metrics, but should also be evaluated against objectives and/or milestones.",https://stackoverflow.com/questions/798243/metrics-for-measuring-successful-refactoring/36119147,9,1
Should HTTP Based Micro Services always be Rest,"I'm currently developing a micro service that basically provides calculation services to other micro services. It does not store data or have any resources like a sales order. It only calls other micro services and then calculates metrics and prices to return a result.
I'm kind of struggling  trying to make a rest API with resources names that are nouns when all I do is calculate stuff and return results (more like an action).
So can we have a micro services that behaves more like an HTTP API than a Restful service (is it a bad practice, an anti pattern , an architecture smell, ....)
Regards","You can use whatever you want and in your particular case I am pretty sure you won't see any drawbacks. From my point of view only difference with rest is mostly semantic -some people may also argue about cacheability but I don't think so- 
Apart from rest/rpc creating microservices without any actual domain could cause a maintenance issue in the long run as you totally depend on some other microservices data whenever a change required in their side you may also need change this microservice. That is why I don't recommend those kind of calculation services unless you have a valid scalability requirement.",https://stackoverflow.com/questions/49260669/should-http-based-micro-services-always-be-rest,1,1
JAX-RS Webservice Architecture Patterns,"What are the common practices for developing JAX-RS Webservices?
I think my architecture has kind of a smell to it:
The webservice is acting as a proxy, collecting information from different sources. There are RSS Feeds, SOAP Services and a Database.
I would like to abstract away the datasource in my business logic. Thats why I came up with something like this:
Persistence Layer: 
| RSS Connector   Parser         SOAP Interface(s)             Entities        |
|     SomeRssDataDAO       SomeSoapDao   AnotherSoapDap    UserDao  ...Dao     |

Service Layer
|    SomeRssDataService            SoapDataService        UserFavoritesService |

""Resource"" Layer
|       JerseyResources that map HTTP to service methods                       |

The service layer as well as the persistence layer would be EJBs. 
The problem I'm facing is that I would have transactions in the persistence layer.
What if a services needs to use mutliple steps to do it's work, that wouldn't be right then.
But using transactions / the entitymanager in my service layer doesn't seem right to.
What's the way to go? 
Also general Enterprise Application Architecture Tipps would be appreciated.","I don't see anything wrong with transactions being managed by the service layer. That's where the context to decide what should be atomic is and should be. 
Your service layer doesn't need to be EJBs unless you plan to distribute them. You can use JDO or JPA transactions to manage persistence operations.
Your ""Persistence Layer"" doesn't really need to be EJBs either unless you plan to distribute them.",https://stackoverflow.com/questions/17031387/jax-rs-webservice-architecture-patterns,1,1
Stop session from expiring when browser closes,"It seems to be that my PHP session is expiring/deleting when the browser is closed. 
Is there a way I can prevent this to happen ? Is it only a PHP setting or is there a browser say in this as well ?","You need:

Change session.cookie_lifetime value
Change session.gc_maxlifetime value so that it should not be lesser than cookie life time value. Otherwise your session cookie will point to invalid session storage

However, if you want your session to persist after browser was closed, it seems that it's not ""session"" by definition. I.e. technically, you can do that - but logically that seems to be architecture smell.",https://stackoverflow.com/questions/19807161/stop-session-from-expiring-when-browser-closes/19807209,2,1
Is it possible to cancel function override in parent class and use function from top level parent,"class TopParent
{
    protected function foo()
    {
        $this->bar();
    }

    private function bar()
    {
       echo 'Bar';
    }
}

class MidParent extends TopParent
{
    protected function foo()
    {
        $this->midMethod();
        parent::foo();
    }

    public function midMethod()
    {
        echo 'Mid';
    }

    public function generalMethod()
    {
       echo 'General';
    }
}

Now the question is if I have a class, that extends MidParent because I need to call
class Target extends MidParent
{
    //How to override this method to return TopParent::foo(); ?
    protected function foo()
    {
    }
}

So I need to do this:
$mid = new MidParent();
$mid->foo(); // MidBar
$taget = new Target();
$target->generalMethod(); // General
$target->foo(); // Bar

UPDATE
Top parent is ActiveRecord class, mid is my model object. I want to use model in yii ConsoleApplication. I use 'user' module in this model, and console app doesn't support this module. So I need to override method afterFind, where user module is called. So the Target class is the class that overrides some methods from model which uses some modules that console application doesn't support.","Directly - you can't. This is how OOP works.
You can do it by a little redesign, e.g. in MidParent add method:
protected function parentFoo()
{
    parent::foo();
}

and in Target:
public function foo()
{
    $this->parentFoo();
}

But, again, this is only a workaround to solve your question and not a solution.",https://stackoverflow.com/questions/19808308/is-it-possible-to-cancel-function-override-in-parent-class-and-use-function-from/19808535,4,1
Update enum using Reflection in java,"I have declared an enum
enum Animal {
    Cat(""Tom""), Rat(""Jerry"");
}

I have to add test cases on the values. Is there a way to add another Animal Type on the go using reflection in enum, for which I have to fail the test case.
P.S. These values have some resemblance with another module runs parallel on server, so in future if some other coder updates enum, to ensure he has to make those changes in another module as well.
So, I am adding a functional test case around it.","All the values in an enum should be known upfront. In this case, you can also write a test case which 'gets' all the values from this enum and asserts that the size is 2 , values are as expected etc. On a separate note, having duplicate enums in two modules which should remain in sync seems like a design/architecture smell. May be both modules should pick up these values from a shared db or a shared cache to properly mitigate this.",https://stackoverflow.com/questions/48089494/update-enum-using-reflection-in-java/48089779,1,1
How do I use streaming with WCF services returning a large data set?,"I'm fairly new to WCF and I'm trying to figure out how streaming works.I basically have a web service that is supposed to return some information from a db.The data returned is potentially very large.I was wondering if anyone could point out a good example of how is this done.If I'm understanding things correctly, my web service method should be returning a stream object.But how do I actually pass data to the stream? Is it just a matter of serializing each object and writing it to the stream? If so, how exactly would the serializaition be done? Once again, a simple example would be very much appreciated.","You should just set the Binding's TransferMode property to the Streamed value and work with your WCF services as you would do.  The WCF infrastructure will do all the job automatically.
Here is one more useful link:
Streaming Message Transfer",https://stackoverflow.com/questions/6737534/how-do-i-use-streaming-with-wcf-services-returning-a-large-data-set/6751349,2,1
"Custom roles architecture in ASP.NET MVC 5, Dependency Injection issues","I've got an architecture issue that I'm hoping someone can be of assistance to guide me in a more ideal strategy. The way I've been forced to do this reeks of ""code smell"".
I've got two different kinds of ""Roles"". I've got the built in Identity Roles, and I've got a custom set of roles (User Group Roles). I store these User Group Roles in a database, essentially a relationship between a user id, a usergroup role id, and a usergroup id. I'm using Ninject for dependency injection of my UserGroupService that handles all the CRUD operations of assigning users with certain usergroup roles to usergroups.
My first plan of attack was to create a custom authorization attribute that I could place on actions, similar to the Identity [Authorize(Role="""")] attribute. I did not have any luck with this because I cannot inject a service into an attribute class (needs a parameterless constructor). 
After that didn't work, my second plan of attack was to write an extension method for IPrincipal, essentially mimicking User.IsInRole("""") with User.IsInUserGroupRole(""""). This didn't work because I cannot inject a service into a static class.
Currently I am stuck including some booleans in the model of every view that has role based logic involved. So for instance:
public ActionResult Navigation()
    {
        var isSystemAdmin = User.IsInRole(""Administrator"");
        var isUserGroupAdmin = _userGroupService.IsUserGroupAdmin(User.Identity.GetUserId()) && !isSystemAdmin;
        var isGeneralUser = !isSystemAdmin && !isUserGroupAdmin;

        var model = new NavigationViewModel
        {
            IsSystemAdmin = isSystemAdmin,
            IsUserGroupAdmin = isUserGroupAdmin,
            IsGeneralUser = isGeneralUser
        };

        return PartialView(""_Navigation"", model);
    }

The issue here is that I have to do this  any time I want to determine what kind of roles the user is currently in. It works, but it smells.
Am I missing something here? I think the most ideal option would be the extension method strategy of being able to call it right off of User, but cannot seem to make that work.","Constructor DI is not the only way to get access to a dependency.
Each IOC has a way of resolving a dependency, all you need is a reference to the IOC container. So, even if your attribute requires a parameterless constructor you could still resolve the dependency manually. 
Something like this should help :
http://www.c-sharpcorner.com/UploadFile/47fc0a/resolving-dependency-using-ninject/
Is it a great way to use your IOC this way? Probably not but it sure beats what you're doing now.",https://stackoverflow.com/questions/39337958/custom-roles-architecture-in-asp-net-mvc-5-dependency-injection-issues,1,1
@Component annotation to be used with qualifier,"Let's say I have a single class with 
@Component annotation 
@Component
public class MyClass {}

Now I wanna use it with two different scopes: prototype and singleton without defining it in configuration. 
Is that possible?","There should never be a use case for having the same bean in two different scopes. It's a huge architectural smell and you should probably redesign your application.
That said, perhaps you mean you need to inject a prototype-scoped bean into a singleton bean? That's a common use case and the implications are adressed in these manual sections:

Singleton beans with prototype-bean dependencies
Scoped beans as dependencies

But if you do insist to have the same bean in two different scopes, that can be achieved by using @Bean methods:
@Configuration
public class MyConfig{
    @Bean public MyClass singletonScope(){ return new MyClass(); }
    @Bean @Scope(""prototype"") public MyClass prototypeScope(){ return new MyClass(); }
}",https://stackoverflow.com/questions/37608022/component-annotation-to-be-used-with-qualifier/37608621,1,1
