tittle,question,answer,url,ans_count,tag
A type with __anager_ in the name - candidate for refactoring?,"I found a thesis on forums:

If you have a type with ""Manager"" in
  the name, it's a candidate for
  refactoring.

One answer:

I know it's considered a code ""smell""

So... Why? Is this thesis correct?
There are many managers out there. For example, Ogre3d uses them a lot, and this engine really has a clean architecture.","Ogre3d uses them a lot, and this engine really has a clean architecture.

It does everywhere except the ""manager"" classes.  Look at DefaultSceneManager as an example.  These are incredibly huge, nightmarish classes to ""manage.""
The problem is that most classes with a name including ""Manager"" typically violate the Single Responsibility Principle.  This isn't always true - as a class may have the single responsibility of managing one other aspect, but typically, those will be named differently.  When a class gets the name ""Manager"", it's typically because it's the class overseeing everything - and really should be broken into distinct pieces based on their individual responsibilities.",https://stackoverflow.com/questions/3983113/a-type-with-manager-in-the-name-candidate-for-refactoring,2,0
One-to-one mapping in S#arp Architecture,"There's a distinct smell of burned out circuits coming from my head, so forgive my ignorance.
I'm trying to setup a one-to-one relationship (well, let Automapper do it) in S#arp Architecture.
I have
public class User : Entity
{
    public virtual Profile Profile { get; set; }
    public virtual Basket Basket { get; set; }
    public virtual IList<Order> Orders { get; set; }
    public virtual IList<Role> Roles { get; set; }  
    ...
}

public class Basket : Entity
{
    public virtual User User { get; set; }  
    ...
}

public class Profile : Entity
{
    public virtual User User { get; set; }
    ...
}

And my db schema is
CREATE TABLE [dbo].[Users](
    [Id] [int] IDENTITY(1,1) NOT NULL,
    ...

CREATE TABLE [dbo].[Profiles](
    [Id] [int] IDENTITY(1,1) NOT NULL,
    [UserFk] [int] NULL,
    ...

CREATE TABLE [dbo].[Baskets](
    [Id] [int] IDENTITY(1,1) NOT NULL,
    [UserFk] [int] NULL,
    ...

When I run the unit test CanConfirmDatabaseMatchesMappings in MappingIntegrationTests I get the following error

NHibernate.ADOException : could not
  execute query ...
  System.Data.SqlClient.SqlException :
  Invalid column name 'ProfileFk'.
  Invalid column name 'BasketFk'.

and the sql it's trying to execute is
SELECT TOP 0
    this_.Id AS Id6_1_ ,
    ..
    user2_.ProfileFk AS ProfileFk9_0_ ,
    user2_.BasketFk AS BasketFk9_0_
FROM
    Profiles this_
    LEFT OUTER JOIN Users user2_
        ON this_.UserFk = user2_.Id

So it's looking for a ProfileFk and BasketFk field in the Users table. 
I haven't setup any customer override mappings and as far as I can see I've followed the default conventions setup in S#.
The two other mappings for IList Orders and Roles seem to map fine. So I'm guessing that it've missed something for setting up a one-to-one relationship.
What am I missing?","Got it. This is really an NHibernate problem to solve with Fluent NHibernate syntax, but it happens to be relevant for S#.
Background reading: NHibernate Mapping  and Fluent NHibernate HasOne
What you do is override the mapping for User and give it two .HasOne mappings. Then set a unique reference to the user on the Profile and Basket class:
public class UserMap : IAutoMappingOverride<User>
    {
        #region Implementation of IAutoMappingOverride<User>
        /// <summary>
        /// Alter the automapping for this type
        /// </summary>
        /// <param name=""mapping"">Automapping</param>
        public void Override(AutoMapping<User> mapping)
        {
            mapping.HasOne(u => u.Profile);
            mapping.HasOne(u => u.Basket);
        }
        #endregion
    }

public class ProfileMap : IAutoMappingOverride<Profile>
    {
        #region Implementation of IAutoMappingOverride<Profile>
        /// <summary>
        /// Alter the automapping for this type
        /// </summary>
        /// <param name=""mapping"">Automapping</param>
        public void Override(AutoMapping<Profile> mapping)
        {
            mapping.References(p => p.User).Unique().Column(""UserFk"");
        }
        #endregion
    }

public class BasketMap : IAutoMappingOverride<Basket>
    {
        #region Implementation of IAutoMappingOverride<Basket>
        /// <summary>
        /// Alter the automapping for this type
        /// </summary>
        /// <param name=""mapping"">Automapping</param>
        public void Override(AutoMapping<Basket> mapping)
        {
            mapping.References(b => b.User).Unique().Column(""UserFk"");
        }
        #endregion
    }

As a side note, at the time of writing this, NHibernate 3 has just been released. There's a great book out called NHibernate 3.0 Cookbook which I've just bought and it looks extremely useful for working with S#.",https://stackoverflow.com/questions/4368212/one-to-one-mapping-in-sarp-architecture,1,0
Java inheritance: Is there a way to specify that only one of two methods must be overridden,"For some derived classes, I want to ensure that one of two overloaded abstract methods gets overridden, but not both. Is this possible?

abstract void move();
abstract void move(int x, int y);

There is an abstract particle class that is extended by several classes. One of the derived classes receives mouse input to calculate its movement, while the others do not. All of the derived classes have a move function. What is a good way to go about coding the inheritance for this?","No, Java requires that all abstract methods be implemented by concrete subclasses.
Leave the decision of whether the parameters should be ignored to the callee, not the caller. Take for example a hypothetical 3D rendering system with multiple rendering engines:
abstract class Renderer {
  boolean isPointVisible(int x, int y);
}

class SimpleRenderer {
  @Override
  public boolean isPointVisible(int x, int y) {
    return true;
  }
}

class ComplexRenderer {
  @Override
  public boolean isPointVisible(int x, int y) {
    return x > 0 && x < 100 && y < 0 && y < 100;
  }
}",https://stackoverflow.com/questions/4567510/java-inheritance-is-there-a-way-to-specify-that-only-one-of-two-methods-must-be/4567521,4,0
File permissions with glass gdk,"I can create a JSON file in DCIM directory of Glass but the file is not visible when I access it on glass.
Here is the code:
File jsonFile = new File(Environment.getExternalStorageDirectory()
                + File.separator + ""DCIM/test/file.json"");
//file address    

String json = ""{\""id\"":1}"";
//text to be written on the file

FileWriter fw = new FileWriter(jsonFile);
BufferedWriter bw = new BufferedWriter(fw);
bw.write(json);
bw.close();
fw.close();
//writing the file

I can only access the file in DDMS view in Eclipse.
I have added the following permission:
android.permission.WRITE_EXTERNAL_STORAGE","You can view it with DDMS that means the file was created. I think there is no problem with your app.
If you want to open the file, you can pull the file out from your Glass using adb:
adb pull /sdcard/DCIM/test/file.json

And view it with whatever application you want.
Also see http://developer.android.com/tools/help/adb.html

To copy a file or directory (and its sub-directories) from the
  emulator or device, use

    adb pull <remote> <local>",https://stackoverflow.com/questions/26326272/file-permissions-with-glass-gdk/26334754,2,0
In which cases Idempotent PUT would be useful in REST?,"Ok. I have read at several places that using the same PUT URL several times should have the same effect. PUTting data to Api/Student/1234 should either create or update the same student with id 1234.
Now every Url will have a payload of the actual student data that needs to be added or updated in the database. Why not the ID be part of the payload? I can simply PUT data to Api/Student with the payload containing the ID.
You would say that the Url is not idempotent. My question is how will I benefit by making a PUT url idempotent? I understand that GET must be idempotent. But why would PUT need to be idempotent because the client is the one putting the data. Calling the same URL Api/Student with payload containing the same student Id will have the same effect each time. So the purpose is solved right?
Please help.","You need to have the id in the URI to allow caching proxies to function correctly.  If you do
PUT /Api/Student/23

The intermediary cache knows that any copy of /Api/student/23 that it is storing is now out of date and can be flushed from the cache.  The same goes for GETs if you don't uniquely identify the resource with the ID then the cache will not be able to store that resource representation independently.
If you follow your argument to the logical extreme then you could say that you don't need student in the URI because that information could be held in the payload.  And you are absolutely correct and it is a valid approach, it just is not REST at that point.  The REST uniform interface constraint includes ""identification of resources"" as one of the sub-constraints.",https://stackoverflow.com/questions/5523725/in-which-cases-idempotent-put-would-be-useful-in-rest/5528314,3,0
Naming Classes - How to avoid calling everything a _<WhatEver>Manager_? [closed],"As it currently stands, this question is not a good fit for our Q&A format. We expect answers to be supported by facts, references,   or expertise, but this question will likely solicit debate, arguments, polling, or extended discussion. If you feel that this question   can be improved and possibly reopened, visit the help center for guidance.
                            
                        


Closed 7 years ago.


A long time ago I have read an article (I believe a blog entry) which put me on the ""right"" track on naming objects: Be very very scrupulous about naming things in your program.
For example if my application was (as a typical business app) handling users, companies and addresses I'd have a User, a Company and an Address domain class - and probably somewhere a UserManager, a CompanyManager and an AddressManager would pop up that handles those things.
So can you tell what those UserManager, CompanyManager and AddressManager do? No, because Manager is a very very generic term that fits to anything you can do with your domain objects.
The article I read recommended using very specific names. If it was a C++ application and the UserManager's job was allocating and freeing users from the heap it would not manage the users but guard their birth and death. Hmm, maybe we could call this a UserShepherd.
Or maybe the UserManager's job is to examine each User object's data and sign the data cryptographically. Then we'd have a UserRecordsClerk.
Now that this idea stuck with me I try to apply it. And find this simple idea amazingly hard.
I can describe what the classes do and (as long as I don't slip into quick & dirty coding) the classes I write do exactly one thing. What I miss to go from that description to the names is a kind of catalogue of names, a vocabulary that maps the concepts to names.
Ultimately I'd like to have something like a pattern catalogue in my mind (frequently design patterns easily provide the object names, e.g. a factory)

Factory - Creates other objects (naming taken from the design pattern)
Shepherd - A shepherd handles the lifetime of objects, their creation and shutdown
Synchronizer - Copies data between two or more objects (or object hierarchies)
Nanny - Helps objects reach ""usable"" state after creation - for example by wiring to other objects
etc etc.

So, how do you handle that issue? Do you have a fixed vocabulary, do you invent new names on the fly or do you consider naming things not-so-important or wrong?
P.S.: I'm also interested in links to articles and blogs discussing the issue. As a start, here is the original article that got me thinking about it: Naming Java Classes without a 'Manager'

Update: Summary of answers
Here's a little summary of what I learned from this question in the meantime.

Try not to create new metaphors (Nanny)
Have a look at what other frameworks do

Further articles/books on this topic:

What names do you find yourself prepending/appending to classes regularly? 
What__ the best approach to naming classes?
Book: Design Patterns: Elements of Reusable Object-Oriented Software (Hardcover)
Book: Patterns of Enterprise Application Architecture (Hardcover)
Book: Implementation Patterns (Paperback)

And a current list of name prefixes/suffixes I collected (subjectively!) from the answers:

Coordinator
Builder
Writer
Reader
Handler
Container
Protocol
Target
Converter
Controller
View
Factory
Entity
Bucket

And a good tip for the road:

Don't get naming paralysis. Yes, names are very important but they're not important   enough to waste huge amounts of time on. If you can't think up a good name in 10 minutes, move on.","I asked a similar question, but where possible I try to copy the names already in the .NET framework, and I look for ideas in the Java and Android frameworks.
It seems Helper, Manager, and Util are the unavoidable nouns you attach for coordinating classes that contain no state and are generally procedural and static. An alternative is Coordinator.
You could get particularly purple prosey with the names and go for things like Minder, Overseer, Supervisor, Administrator, and Master, but as I said I prefer keeping it like the framework names you're used to.
Some other common suffixes (if that is the correct term) you also find in the .NET framework are:

Builder
Writer
Reader
Handler
Container",https://stackoverflow.com/questions/1866794/naming-classes-how-to-avoid-calling-everything-a-whatevermanager/10439145,13,0
32 bit pointer in a 64 bit Solaris compile,I know this is a strange questions but I was wondering if it was possible to make a 32 bit pointer in 64 bit compile on Solaris using g++.  The final object would need to be 64 bit however one of my pointers offsets is becomming larger on Solaris then it is in windows if I do use 64 bit to compile.  This is causing a big problem.  I was wondering if it was possible to make a 32bit pointer within my 64 bit compiled object.,"Pointer size is a property of your target architecture, so you cannot mix and match 32- and 64-bit pointers. I would strongly suggest re-thinking your design (which smells like usual mistake of casting pointers to integers and back.) You can theoretically work with ""limited-reach"" offsets, but again please ask yourself why, and what would be a better way of doing it.",https://stackoverflow.com/questions/1639349/32-bit-pointer-in-a-64-bit-solaris-compile/1639387,4,0
redux initial state as first parameter is a bad practice,"In redux the initial state is provided by using a default parameter for the first argument state, while the second argument action does not have a default. However, I consider this a code smell  (and so do others such as Airbnb guidelines) since you always need to provide the first argument (and then would use undefined to get the default which is cumbersome). I totally understand why you would want to provide that initial state, but why do they not switch the arguments so the default is 2nd to bring code in compliance with common guidelines? 
// bad
function someReducer(state = 0, action) {
  switch (action.type) {
  default: return state;
}

// good
function someReducer(action, state = 0) {
  switch (action.type) {
  default: return state;
}

redux forces our developers to use a bad practice which encourages them to do it in other places. Why would redux-developers still decide for such architecture?
UPDATE
The reason, why it is a bad practice to have defaults going first comes from language design itself. In JS the interpreter cannot tell what the intention of the developer was. As an example:
const giveMe = (goodHuman = true, candy) => (goodHuman && candy) ? 'candy' : 'tea';

So, will I get candy?
giveMe(true) // not clear! (but it is 'tea')

I cannot access the candy with a single parameter! But I guess the developer would have liked me to get some, right? However, candy is always undefined making the conditional expression evaluate to undefined. As a fallback the else-part is executed. It is not a clear intention and hard to guess what the developer wanted to express. Such code would not come through our review-process / QA.
So, in the following example, the developer made sure that we can access that candy if we want it and he beliefs that we by default are good humans who should get that candy.:
candy giveMe = (candy, goodHuman = true) => (goodHuman && candy) ? 'candy' : 'tea';
giveMe(true) // finally we get the candy!

Since people say that putting the default in front is a best practice with redux, I would consequently argue that redux has a bad design on the reducers' signature! It might origin from the fact that reducer-functions in general have a similar signature, but they do not make the first argument optional which would not make any sense! It argue that it is a bad design decision of redux to make it a ""best practice"" calling a function using undefined.","The signature of a ""reducer"" function as (state, action) is based on the signature of a callback you would pass to Array.prototype.reduce(), such as:
const sum = [1, 2, 3].reduce( (sumInProgress, currentNumber) => {
    return sumInProgress + currentNumber;
});

The first argument is the ""accumulator"" or ""previous state"" value, and the second argument is the ""current item"" value.  In Redux, those values correspond to the existing state, and the current action.  So, there is explicit precedent for that function signature.
As for initializing the state: you could always provide the app-wide initial state as the second argument to createStore(rootReducer, preloadedState).  However, the encouraged approach is that each slice reducer should take care of providing its own initial state, and do so when it is called with a state value of undefined.  The built-in combineReducers function will ensure that each slice reducer is called on startup, thus neatly initializing each piece of the overall app state.
While you could explicitly check for if(state === undefined) return initialState inside of the function, it's shorter and simpler to declare the initial state as a default value for the state argument.
So, overall, this is not a bad practice, but rather a best practice for use of Redux.  Remember that style rulesets like the AirBNB guidelines are merely opinions, not strict rules that everyone must follow.
For more info on how Redux state initialization works, see the Structuring Reducers - Initializing State section of the Redux docs.",https://stackoverflow.com/questions/45658610/redux-initial-state-as-first-parameter-is-a-bad-practice,1,0
Selecting class depending on variable,"I have two classes ClassOne and ClassTwo. I want to initialize a different one depending on a variable value, i want to do something like:
if(a == ""0"") {
let b = ClassOne();
}else{
let b = ClassTwo();
}

without having to write it everytime I need it. Something like:
let b = MainClass()
and gets called ClassOne() or ClassTwo() depending on the case, a is a global variable.","In order for this to work the two types should be related either by extending a common base class or by implementing the same protocol. Further, subsequent operations on b would be restricted to these the two classes have in common.
If you are fine with that restriction, you can do it like this:
protocol CommonProtocol {
    func foo() -> Double
    var bar : Int { get }
}
class ClassOne : CommonProtocol {
    ...
}
class ClassTwo : CommonProtocol {
    ...
}
func MainClass() -> CommonProtocol {
    if(a == ""0"") {
        return ClassOne()
    } else {
        return ClassTwo()
    }
}
...
let b = MainClass()
b.foo()
print(b.bar)

Note: You could forego all of the above in favor of a completely dynamic approach  by following matt's advise.",https://stackoverflow.com/questions/36137346/selecting-class-depending-on-variable/36138756,4,0
C# ref is it like a pointer in C/C++ or a reference in C++?,"I'm working with the ref and don't understand clearly ""Is it like a pointer as in C/C++ or it's like a reference in C++?""
Why did I ask such a weak question as you thought for a moment?
Because, when I'm reading C#/.NET books, msdn or talking to C# developers I'm becoming confused by the following reasons:

C# developers suggest NOT to use ref in the arguments of a function, e.g. ...(ref Type someObject) doesn't smell good for them and they suggest ...(Type someObject), I really don't understand clearly this suggestion. The reasons I heard: better to work with the copy of object, then use it as a return value, not to corrupt memory by a reference etc... Often I hear such explanation about DB connection objects. As on my plain C/C++ experience, I really don't understand why to use a reference is a bad stuff in C#? I control the life of object and its memory allocations/re-allocations etc... I read in books and forums only advises it's bad, because you can corrupt your connection and cause a memory leak by a reference lose, so I control the life of object, I may control manually what I really want, so why is it bad?
Nowadays reading different books and talk to different people, I don't clearly understand is ref a pointer (*) or a reference like in C++ by & ? As I remember pointers in C/C++ always do allocate a space with a size of void* type - 4 bytes (the valid size depends on architecture), where hosts an address to a structure or variable. In C++ by passing a reference & there is no new allocations from the heap/stack and you work with already defined objects in memory space and there is no sub-allocating memory for a pointer externally like in plain C. So what's the ref in C#? Does .NET VM handle it like a pointer in plain C/C++ and its GC allocates temporary space for a pointer or it does a work like reference in C++? Does ref work only with a managed types correctly or for value types like bool, int it's better to switch an unsafe code and pass through a pointer in unmanaged style?","In C#, when you see something referring to a reference type (that is, a type declared with class instead of struct), then you're essentially always dealing with the object through a pointer. In C++, everything is a value type by default, whereas in C# everything is a reference type by default.
When you say ""ref"" in the C# parameter list, what you're really saying is more like a ""pointer to a pointer."" You're saying that, in the method, that you want to replace not the contents of the object, but the reference to the object itself, in the code calling your method.
Unless that is your intent, then you should just pass the reference type directly; in C#, passing reference types around is cheap (akin to passing a reference in C++).
Learn/understand the difference between value types and reference types in C#. They're a major concept in that language and things are going to be really confusing if you try to think using the C++ object model in C# land.
The following are essentially semantically equivalent programs:
#include <iostream>

class AClass
{
    int anInteger;
public:
    AClass(int integer)
        : anInteger(integer)
    {  }

    int GetInteger() const
    {
        return anInteger;
    }

    void SetInteger(int toSet)
    {
        anInteger = toSet;
    }
};

struct StaticFunctions
{
    // C# doesn't have free functions, so I'll do similar in C++
    // Note that in real code you'd use a free function for this.

    static void FunctionTakingAReference(AClass *item)
    {
        item->SetInteger(4);
    }

    static void FunctionTakingAReferenceToAReference(AClass **item)
    {
        *item = new AClass(1729);
    }
};

int main()
{
    AClass* instanceOne = new AClass(6);
    StaticFunctions::FunctionTakingAReference(instanceOne);
    std::cout << instanceOne->GetInteger() << ""\n"";

    AClass* instanceTwo;
    StaticFunctions::FunctionTakingAReferenceToAReference(&instanceTwo);
    // Note that operator& behaves similar to the C# keyword ""ref"" at the call site.
    std::cout << instanceTwo->GetInteger() << ""\n"";

    // (Of course in real C++ you're using std::shared_ptr and std::unique_ptr instead,
    //  right? :) )
    delete instanceOne;
    delete instanceTwo;
}

And for C#:
using System;

internal class AClass
{
    public AClass(int integer)
        : Integer(integer)
    {  }

    int Integer { get; set; }
}

internal static class StaticFunctions
{
    public static void FunctionTakingAReference(AClass item)
    {
        item.Integer = 4;
    }

    public static void FunctionTakingAReferenceToAReference(ref AClass item)
    {
        item = new AClass(1729);
    }
}

public static class Program
{
    public static void main()
    {
        AClass instanceOne = new AClass(6);
        StaticFunctions.FunctionTakingAReference(instanceOne);
        Console.WriteLine(instanceOne.Integer);

        AClass instanceTwo  = new AClass(1234); // C# forces me to assign this before
                                                // it can be passed. Use ""out"" instead of
                                                // ""ref"" and that requirement goes away.
        StaticFunctions.FunctionTakingAReferenceToAReference(ref instanceTwo);
        Console.WriteLine(instanceTwo.Integer);
    }
}",https://stackoverflow.com/questions/16207455/c-sharp-ref-is-it-like-a-pointer-in-c-c-or-a-reference-in-c,6,0
